ID,county,謝長廷,馬英九,,
6300200-019,臺北市信義區富臺里,1960,3359,,
6300200-020,臺北市信義區國業里,3359,1235,,
6300200-021,臺北市信義區松隆里,1235,2484,,
6300200-022,臺北市信義區松友里,2484,1445,,
6300200-023,臺北市信義區松光里,1445,3398,,
6300200-024,臺北市信義區中坡里,3398,1964,,
6300200-025,臺北市信義區中行里,1964,3432,,
6300200-026,臺北市信義區大道里,3432,1007,,
6300200-027,臺北市信義區大仁里,1007,2223,,
6300200-028,臺北市信義區景新里,2223,1243,,
6300200-029,臺北市信義區惠安里,1243,2691,,
6300200-030,臺北市信義區三張里,2691,1248,,
6300200-031,臺北市信義區三犁里,1248,2371,,
6300200-032,臺北市信義區六合里,2371,1471,,
6300200-033,臺北市信義區泰和里,1471,2676,,
6300200-034,臺北市信義區景聯里,2676,1480,,
6300200-035,臺北市信義區景勤里,1480,2866,,
6300200-036,臺北市信義區雙和里,2866,979,,
6300200-037,臺北市信義區嘉興里,979,2874,,
6300200-038,臺北市信義區黎順里,2874,1553,,
6300200-039,臺北市信義區黎平里,1553,3463,,
6300200-040,臺北市信義區黎忠里,3463,1764,,
6300200-041,臺北市信義區黎安里,1764,4687,,
6300400-001,臺北市中山區正守里,4687,1438,,
6300400-002,臺北市中山區正義里,1438,3364,,
6300400-003,臺北市中山區正得里,3364,1596,,
6300400-004,臺北市中山區民安里,1596,3546,,
6300400-005,臺北市中山區康樂里,3546,1070,,
1001705-004,臺北市中山區中山里,1070,1990,,
6300400-007,臺北市中山區聚盛里,1990,1692,,
6300400-008,臺北市中山區集英里,1692,3183,,
6300400-009,臺北市中山區聚葉里,3183,1256,,
6300400-010,臺北市中山區恆安里,1256,4035,,
6300400-011,臺北市中山區晴光里,4035,817,,
6300400-012,臺北市中山區圓山里,817,2321,,
6300400-019,臺北市中山區新庄里,2321,2204,,
6300400-013,臺北市中山區劍潭里,2204,3579,,
6300400-014,臺北市中山區大直里,3579,1889,,
6300400-015,臺北市中山區成功里,1889,3221,,
6300400-016,臺北市中山區永安里,3221,1535,,
6300400-017,臺北市中山區大佳里,1535,3001,,
6300400-041,臺北市中山區金泰里,3001,1984,,
6300400-042,臺北市中山區北安里,1984,3310,,
6300400-018,臺北市中山區新喜里,3310,1069,,
6300400-020,臺北市中山區新福里,1069,1787,,
6300400-021,臺北市中山區松江里,1787,1014,,
6300400-022,臺北市中山區新生里,1014,2074,,
