Village_Name,VILLAGE_ID,當選人,當選人所屬黨派,次高票者,次高票所屬政黨,當選人得票數,次高票得票數,有效票的SUM,投票數,選舉人數,投票率
士林區舊佳里,6301100-006,姚文智,民主進步黨,潘懷宗,新黨,438,290,3606,3682,5258,70.755
士林區蘭興里,6301100-035,吳思瑤,民主進步黨,丁守中,中國國民黨,505,419,3859,3917,5556,70.19
士林區蘭雅里,6301100-034,吳思瑤,民主進步黨,丁守中,中國國民黨,475,461,5120,5166,7418,69.72
士林區臨溪里,6301100-051,姚文智,民主進步黨,潘懷宗,新黨,415,327,1695,1752,2565,68.285
士林區名山里,6301100-026,姚文智,民主進步黨,潘懷宗,新黨,574,458,4201,4315,6161,69.955
士林區明勝里,6301100-014,姚文智,民主進步黨,潘懷宗,新黨,564,374,2879,2927,4257,67.98
士林區平等里,6301100-048,姚文智,民主進步黨,潘懷宗,新黨,690,180,899,913,1280,71.33
士林區前港里,6301100-010,姚文智,民主進步黨,潘懷宗,新黨,489,302,2616,2679,3791,70.77
士林區仁勇里,6301100-001,姚文智,民主進步黨,潘懷宗,新黨,607,412,2276,2325,3370,69.055
士林區三玉里,6301100-033,吳思瑤,民主進步黨,丁守中,中國國民黨,567,480,3420,3480,4997,69.3
士林區社新里,6301100-020,姚文智,民主進步黨,潘懷宗,新黨,607,321,5142,5272,7652,68.83
士林區社園里,6301100-021,姚文智,民主進步黨,潘懷宗,新黨,703,257,4265,4353,6192,70.23
士林區社子里,6301100-019,姚文智,民主進步黨,潘懷宗,新黨,558,277,3765,3834,5474,71.455
士林區聖山里,6301100-029,姚文智,民主進步黨,潘懷宗,新黨,523,433,3003,3078,4309,71.5
士林區天福里,6301100-036,吳思瑤,民主進步黨,丁守中,中國國民黨,566,457,3563,3598,5240,69.19
士林區天和里,6301100-039,吳思瑤,民主進步黨,丁守中,中國國民黨,542,469,4336,4374,6321,68.87
士林區天祿里,6301100-037,吳思瑤,民主進步黨,丁守中,中國國民黨,504,448,3031,3069,4476,67.69
士林區天母里,6301100-042,吳思瑤,民主進步黨,丁守中,中國國民黨,403,428,3861,3924,5701,69.59
士林區天山里,6301100-040,吳思瑤,民主進步黨,丁守中,中國國民黨,541,509,3944,3999,5881,68.31
士林區天壽里,6301100-038,吳思瑤,民主進步黨,丁守中,中國國民黨,454,392,2886,2922,4214,68.7
士林區天玉里,6301100-041,吳思瑤,民主進步黨,丁守中,中國國民黨,502,455,4936,4993,7262,68.87
士林區溪山里,6301100-049,姚文智,民主進步黨,潘懷宗,新黨,541,214,798,814,1263,64.45
士林區岩山里,6301100-025,姚文智,民主進步黨,潘懷宗,新黨,461,467,1969,2018,2996,67.39
士林區陽明里,6301100-046,姚文智,民主進步黨,潘懷宗,新黨,314,268,1737,1769,2713,65.76
士林區義信里,6301100-002,姚文智,民主進步黨,潘懷宗,新黨,439,336,1762,1793,2679,67.025
士林區永福里,6301100-043,姚文智,民主進步黨,潘懷宗,新黨,468,241,741,758,1113,68.1
士林區永倫里,6301100-022,姚文智,民主進步黨,潘懷宗,新黨,777,313,4302,4402,6369,68.935
士林區芝山里,6301100-031,姚文智,民主進步黨,潘懷宗,新黨,613,456,4297,4429,6400,69.245
士林區忠誠里,6301100-030,吳思瑤,民主進步黨,丁守中,中國國民黨,292,740,3316,3360,4868,69.38
松山區安平里,6300100-019,蔣萬安,中國國民黨,潘建志,無,384,398,4842,4958,7203,69.28
松山區慈祐里,6300100-018,費鴻泰,中國國民黨,楊實秋,無,316,307,3826,3885,6798,68.415
松山區東昌里,6300100-013,蔣萬安,中國國民黨,潘建志,無,381,279,1513,1558,2168,71.965
松山區東光里,6300100-011,蔣萬安,中國國民黨,潘建志,無,384,249,4105,4192,6194,67.54
松山區東榮里,6300100-003,蔣萬安,中國國民黨,潘建志,無,408,371,4490,4573,6527,70.4
松山區東勢里,6300100-014,蔣萬安,中國國民黨,潘建志,無,346,294,2430,2479,3665,67.47
松山區敦化里,6300100-030,費鴻泰,中國國民黨,楊實秋,無,442,465,3998,4076,5667,71.965
松山區福成里,6300100-034,費鴻泰,中國國民黨,楊實秋,無,322,398,1495,1516,2205,68.71
松山區富錦里,6300100-006,蔣萬安,中國國民黨,潘建志,無,386,299,2909,2973,4387,68.17
松山區富泰里,6300100-008,蔣萬安,中國國民黨,潘建志,無,516,251,2558,2624,3932,65.69
松山區復建里,6300100-032,費鴻泰,中國國民黨,楊實秋,無,401,324,2475,2521,3640,70.13
松山區復盛里,6300100-025,費鴻泰,中國國民黨,楊實秋,無,575,525,3788,3865,5420,70.79
松山區復勢里,6300100-033,費鴻泰,中國國民黨,楊實秋,無,340,371,3485,3556,5098,70.42
松山區復源里,6300100-031,費鴻泰,中國國民黨,楊實秋,無,459,419,1811,1837,2608,70.44
松山區吉仁里,6300100-029,費鴻泰,中國國民黨,楊實秋,無,535,491,2197,2237,3267,68.425
松山區吉祥里,6300100-022,費鴻泰,中國國民黨,楊實秋,無,415,493,4750,4836,7196,67.55
松山區介壽里,6300100-009,蔣萬安,中國國民黨,潘建志,無,374,292,2487,2528,3617,69.31
松山區精忠里,6300100-010,蔣萬安,中國國民黨,潘建志,無,400,249,2392,2445,3557,69.03
松山區龍田里,6300100-012,蔣萬安,中國國民黨,潘建志,無,658,136,5404,5524,8198,67.11
松山區美仁里,6300100-028,費鴻泰,中國國民黨,楊實秋,無,383,499,1959,1997,2818,70.87
松山區民福里,6300100-017,蔣萬安,中國國民黨,潘建志,無,545,296,3842,3923,5589,70.635
松山區民有里,6300100-016,蔣萬安,中國國民黨,潘建志,無,402,348,5032,5139,7413,69.46
松山區鵬程里,6300100-020,蔣萬安,中國國民黨,潘建志,無,568,323,3161,3215,4673,68.55
松山區三民里,6300100-004,蔣萬安,中國國民黨,潘建志,無,433,352,3857,3914,5763,67.805
松山區松基里,6300100-035,蔣萬安,中國國民黨,潘建志,無,503,453,2045,2084,3106,66.995
松山區新東里,6300100-007,蔣萬安,中國國民黨,潘建志,無,471,353,2845,2895,4144,70.08
松山區新聚里,6300100-024,費鴻泰,中國國民黨,楊實秋,無,462,539,4545,4623,6730,68.795
松山區新益里,6300100-005,蔣萬安,中國國民黨,潘建志,無,401,362,2807,2859,4012,71.21
松山區中華里,6300100-015,蔣萬安,中國國民黨,潘建志,無,557,490,3485,3549,5083,69.79
松山區中崙里,6300100-027,費鴻泰,中國國民黨,楊實秋,無,571,505,2272,2316,3328,69.675
松山區中正里,6300100-026,費鴻泰,中國國民黨,楊實秋,無,395,513,5034,5111,7565,66.63
松山區莊敬里,6300100-002,蔣萬安,中國國民黨,潘建志,無,584,268,3056,3109,4604,67.2
松山區自強里,6300100-021,蔣萬安,中國國民黨,潘建志,無,882,196,5562,5668,8105,69.79
